,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,hours-per-week,native-country,class,net_capital,per-hour-income
98,4,171095,7,12,0,4,4,40,9,0,0,0
99,1,249409,11,9,4,8,3,40,39,0,0,0
100,4,124191,12,14,2,4,0,40,39,1,0,0
101,4,198282,9,13,2,4,0,60,39,1,15024,4
102,6,149116,12,14,4,10,1,50,39,0,0,0
103,4,188300,15,10,4,13,3,40,39,0,0,0
104,4,103432,11,9,4,3,1,40,39,0,0,0
105,5,317660,11,9,2,3,0,40,39,1,7688,3
106,0,304873,0,6,4,0,3,32,39,0,34095,20
107,4,194901,1,7,4,6,3,40,39,0,0,0
108,2,189265,11,9,4,1,1,40,39,0,0,0
109,4,124692,11,9,2,6,0,40,39,0,0,0
110,4,432376,9,13,4,12,2,40,39,0,0,0
111,4,65324,14,15,2,10,0,40,39,1,0,0
112,6,335605,11,9,2,8,0,50,2,1,-1887,0
113,4,377869,15,10,2,12,5,25,39,0,4064,3
114,4,102864,11,9,4,7,3,40,39,0,0,0
115,4,95647,6,5,2,6,0,50,39,0,0,0
116,5,303090,15,10,2,12,0,50,39,0,0,0
117,2,197371,8,11,2,3,0,40,39,1,0,0
118,4,247552,15,10,2,12,0,56,39,0,0,0
119,4,102632,11,9,4,3,1,41,39,0,0,0
120,4,199915,15,10,4,8,3,40,39,0,0,0
121,4,118853,9,13,2,4,0,60,39,0,0,0
122,4,77143,9,13,4,4,3,40,11,0,0,0
123,7,267989,9,13,2,10,0,50,39,1,0,0
124,4,301606,15,10,4,8,3,35,39,0,0,0
125,4,287828,9,13,2,4,5,40,39,1,0,0
126,4,111697,15,10,4,1,3,28,39,0,-1719,-1
127,4,114937,7,12,2,1,0,40,39,1,0,0
128,0,129305,11,9,2,0,0,40,39,0,0,0
129,4,365739,15,10,0,3,1,40,39,0,0,0
130,4,69621,7,12,4,12,1,60,39,0,0,0
131,4,43323,11,9,4,8,1,40,39,0,-1762,0
132,6,120985,11,9,2,3,0,35,39,0,4386,2
133,4,254202,9,13,2,12,0,50,39,0,0,0
134,4,146195,7,12,0,13,1,36,39,0,0,0
135,1,125933,12,14,2,10,0,40,20,1,0,0
136,6,56920,11,9,2,3,0,60,39,0,0,0
137,4,163127,8,11,2,1,5,35,39,0,0,0
138,4,34310,15,10,4,12,3,20,39,0,0,0
139,4,81973,15,10,2,3,0,40,39,1,0,0
140,5,66614,11,9,2,3,0,40,39,0,0,0
141,4,232782,15,10,4,12,3,40,39,0,0,0
142,4,316868,15,10,4,8,3,30,26,0,0,0
143,4,196584,8,11,4,10,1,40,39,1,-1564,0
144,4,105376,15,10,4,13,2,40,39,0,0,0
145,4,185814,11,9,4,14,4,30,39,0,0,0
146,4,175374,15,10,2,8,0,24,39,0,0,0
147,4,108293,11,9,6,8,4,24,39,0,0,0
148,4,181232,1,7,2,3,0,40,39,0,-2179,-1
149,0,174662,15,10,0,0,1,40,39,0,0,0
150,2,186009,15,10,0,1,4,38,26,0,0,0
151,4,198183,11,9,4,1,1,40,39,0,0,0
152,4,163003,9,13,4,4,2,40,30,0,0,0
153,4,296158,11,9,4,3,3,35,39,0,0,0
154,0,252903,11,9,0,0,1,45,39,1,0,0
155,4,187715,11,9,2,3,0,46,39,0,0,0
156,4,214542,9,13,4,6,1,40,39,0,0,0
157,6,494223,15,10,5,12,4,2,39,0,-1816,-17
158,4,191535,11,9,0,3,1,60,39,0,0,0
159,4,228456,9,13,5,8,2,50,39,0,0,0
160,0,38317,3,2,0,0,1,20,39,0,0,0
161,4,252752,11,9,4,8,4,40,39,0,0,0
162,5,78374,12,14,0,4,4,40,39,0,0,0
163,4,88419,11,9,4,4,1,40,9,0,0,0
164,6,201080,12,14,2,12,0,40,39,1,0,0
165,4,207157,15,10,0,8,4,40,26,0,0,0
166,1,235485,7,12,4,4,1,42,39,0,0,0
167,7,102628,12,14,6,11,4,40,39,0,0,0
168,4,25828,1,7,4,6,3,16,39,0,0,0
169,2,54826,8,11,6,10,1,20,39,0,0,0
170,4,124953,11,9,4,8,1,40,39,0,-1980,0
171,7,175325,11,9,2,11,0,40,39,0,0,0
172,4,96062,15,10,2,12,0,40,39,1,-1977,0
173,4,428030,9,13,4,3,1,50,39,0,0,0
174,7,149624,9,13,2,10,0,40,39,1,0,0
175,4,253814,11,9,3,12,4,25,39,0,0,0
176,4,312956,11,9,4,3,3,40,39,0,0,0
177,4,483777,11,9,4,6,1,40,39,0,0,0
178,4,183930,11,9,4,8,3,12,39,0,0,0
179,4,37274,9,13,2,10,0,65,39,0,0,0
180,2,181344,15,10,2,4,0,38,39,1,0,0
181,4,114580,15,10,0,1,1,40,39,0,0,0
182,4,633742,15,10,4,3,1,45,39,0,0,0
183,4,286370,5,4,2,7,0,40,26,1,0,0
184,1,29054,15,10,2,1,0,42,39,1,0,0
185,4,304030,11,9,2,1,0,40,39,0,0,0
186,6,143129,9,13,0,4,1,40,39,0,0,0
187,0,135105,9,13,0,0,1,50,39,0,0,0
188,4,99928,12,14,2,10,5,50,39,0,0,0
189,7,109567,10,16,2,10,0,1,39,1,0,0
190,4,155222,15,10,0,7,1,28,39,0,0,0
191,4,159567,15,10,2,7,0,40,39,0,0,0
192,2,523910,9,13,2,3,0,40,39,0,0,0
193,4,120939,15,10,2,13,0,45,39,0,0,0
194,1,130760,9,13,2,13,0,24,39,0,0,0
195,4,197387,4,3,2,14,2,40,26,0,0,0
196,4,99374,15,10,0,3,1,40,39,0,0,0
197,1,56795,12,14,4,4,1,55,39,1,14084,4
198,4,138992,12,14,2,10,2,40,39,1,7298,3
199,6,32921,11,9,4,12,1,40,39,0,0,0
200,4,397317,12,14,4,10,1,40,39,0,-1876,0
201,0,170653,11,9,4,0,3,40,22,0,0,0
202,4,259323,9,13,2,4,0,50,39,1,0,0
203,2,254817,15,10,4,10,1,40,39,0,-1340,0
204,7,48211,11,9,0,1,4,35,39,0,0,0
205,4,140164,1,7,4,12,3,40,39,0,0,0
206,4,128757,9,13,2,8,0,36,39,1,7298,3
207,4,36270,11,9,0,3,1,60,39,0,0,0
208,5,210563,11,9,2,12,5,35,39,1,15024,8
209,4,65368,1,7,4,12,3,12,39,0,0,0
210,2,160943,11,9,2,14,0,40,39,0,0,0
211,4,208358,11,9,2,3,0,40,39,1,0,0
212,4,153790,15,10,4,12,1,40,39,0,0,0
213,4,85815,11,9,2,3,0,40,39,0,0,0
214,5,125417,5,4,2,7,0,40,39,1,0,0
215,4,635913,9,13,4,4,1,60,39,1,0,0
216,4,313321,7,12,0,12,1,40,39,0,0,0
217,4,182609,9,13,2,12,0,50,31,0,0,0
218,4,109434,9,13,2,10,0,55,39,0,0,0
219,4,255004,0,6,4,3,1,40,39,0,0,0
220,4,197860,15,10,2,6,0,40,39,0,0,0
221,0,187656,3,2,0,0,1,40,39,0,0,0
222,4,51744,11,9,4,8,1,40,39,0,-2206,-1
223,4,176681,11,9,2,1,0,20,39,0,0,0
224,2,140359,13,1,4,7,1,35,39,0,0,0
225,4,243313,11,9,4,12,3,40,39,0,0,0
226,0,24215,0,6,0,0,1,10,39,0,0,0
227,6,167687,11,9,2,5,0,50,39,0,1409,0
228,4,314209,8,11,6,1,1,20,4,0,0,0
229,4,176796,11,9,0,1,1,40,39,0,0,0
230,4,538583,1,7,5,14,1,40,39,0,3674,1
231,4,130408,11,9,0,12,4,38,39,0,0,0
232,4,159732,15,10,4,1,1,42,39,0,0,0
233,4,110978,15,10,0,3,2,40,39,0,0,0
234,4,76714,14,15,4,10,1,55,39,1,0,0
235,7,268700,11,9,2,8,0,40,39,0,0,0
236,7,170525,15,10,4,1,1,38,39,0,0,0
237,4,180138,9,13,2,4,0,50,20,1,0,0
238,2,115076,12,14,2,4,0,70,39,1,0,0
239,4,115458,11,9,4,14,3,40,39,0,0,0
240,4,347890,9,13,2,10,0,40,39,1,0,0
241,6,196001,11,9,2,8,5,20,39,0,0,0
242,7,273905,7,12,2,11,0,50,39,0,0,0
243,0,119156,15,10,4,0,3,20,39,0,0,0
244,4,179488,15,10,0,3,1,40,39,0,-1741,0
245,4,203580,11,9,2,1,0,35,0,0,0,0
246,4,236596,11,9,2,1,0,45,39,1,0,0
247,4,183916,11,9,4,8,1,34,39,0,0,0
248,4,207578,7,12,2,13,0,60,39,1,-1977,0
249,4,153141,11,9,2,1,0,40,0,0,0,0
250,4,112763,14,15,2,10,5,40,39,1,0,0
251,4,390781,9,13,2,1,5,40,39,0,0,0
252,2,171328,0,6,6,8,4,30,39,0,0,0
253,2,27382,15,10,4,1,3,40,39,0,0,0
254,4,259014,15,10,4,14,1,20,39,0,0,0
255,6,303044,11,9,2,5,0,40,1,1,0,0
256,4,117789,11,9,4,8,3,40,39,0,0,0
257,4,172579,11,9,5,8,1,30,39,0,0,0
258,4,187666,8,11,6,4,1,45,39,0,0,0
259,4,204518,5,4,0,3,1,40,39,0,0,0
260,4,150042,9,13,0,10,3,40,39,0,0,0
261,4,98092,11,9,2,12,0,60,39,0,0,0
262,4,245918,1,7,4,8,3,12,39,0,0,0
263,4,146013,15,10,2,12,0,40,39,0,4064,1
264,4,378322,1,7,2,3,0,40,39,0,0,0
265,5,257295,15,10,2,4,0,75,37,1,0,0
266,0,218956,15,10,4,0,3,24,2,0,0,0
267,4,21174,11,9,2,4,0,40,39,1,0,0
268,4,185480,9,13,4,10,1,45,39,0,0,0
269,4,222205,11,9,2,3,5,40,39,1,0,0
270,4,69867,11,9,2,4,0,40,39,1,0,0
271,4,191260,6,5,4,8,3,24,39,0,1055,0
272,6,30653,12,14,2,5,0,98,39,0,2407,0
273,2,209109,12,14,4,10,3,35,39,0,0,0
274,4,70377,11,9,0,10,3,40,39,0,0,0
275,4,477983,11,9,2,6,0,40,39,0,0,0
276,4,170924,15,10,2,3,0,40,39,1,7298,3
277,4,190174,15,10,4,4,1,40,39,0,0,0
278,4,193787,15,10,4,13,3,40,39,0,0,0
279,4,279472,15,10,2,7,5,48,39,1,7298,2
280,4,34918,9,13,4,10,1,15,11,0,0,0
281,2,97688,15,10,2,3,0,40,39,1,5178,2
282,4,175413,7,12,0,12,4,45,39,0,0,0
283,4,173960,9,13,0,10,1,42,39,0,0,0
284,4,205759,11,9,4,6,3,40,39,0,0,0
285,1,425161,12,14,2,12,0,40,39,1,15024,7
286,4,220531,14,15,2,10,0,60,39,1,0,0
287,4,176609,15,10,0,8,1,45,39,0,0,0
288,4,371987,9,13,4,4,1,40,39,0,0,0
289,4,193884,5,4,2,3,0,40,7,0,0,0
290,4,200352,9,13,2,10,0,45,39,0,0,0
291,4,127595,11,9,0,10,1,40,39,0,0,0
292,2,220419,9,13,4,11,1,56,39,0,0,0
293,4,231931,15,10,4,12,3,45,39,0,0,0
294,4,248402,9,13,4,13,4,40,39,0,0,0
295,4,111095,11,9,2,14,0,16,39,0,0,0
296,5,57424,9,13,0,12,1,60,39,0,0,0
297,0,157443,12,14,2,0,5,40,0,0,3464,1
298,4,278130,11,9,4,3,3,40,39,0,0,0
299,4,169469,11,9,0,12,1,80,39,0,0,0
300,4,146268,9,13,2,1,0,40,39,1,7688,3
301,4,153718,15,10,4,8,1,25,39,0,0,0
302,4,217460,11,9,2,14,0,45,39,1,0,0
303,4,238638,11,9,2,12,0,40,39,1,4386,2
304,4,303296,15,10,2,1,5,40,25,0,0,0
305,4,173321,11,9,0,1,1,40,39,0,0,0
306,4,193945,7,12,4,13,1,45,39,0,0,0
307,4,83082,7,12,4,10,1,33,39,0,0,0
308,4,193815,7,12,2,1,0,40,39,1,0,0
309,5,34987,15,10,2,5,0,54,39,1,0,0
310,4,59306,9,13,4,12,1,40,39,0,0,0
311,4,142897,12,14,2,4,0,35,36,1,7298,4
312,0,860348,15,10,4,0,3,25,39,0,0,0
313,6,205607,9,13,0,10,1,40,39,1,0,0
314,4,199698,15,10,4,12,3,15,39,0,0,0
315,4,191954,15,10,4,7,1,40,39,0,0,0
316,6,138714,15,10,2,12,0,40,39,0,0,0
317,4,399087,4,3,2,7,2,40,26,0,0,0
318,4,423158,15,10,4,13,1,40,39,0,0,0
319,4,159841,11,9,6,8,1,24,39,0,0,0
320,6,174308,11,9,2,4,0,40,39,0,0,0
321,4,50356,15,10,2,3,0,50,39,0,-1485,0
322,4,186110,11,9,0,14,1,45,39,0,0,0
323,4,200381,1,7,4,4,1,40,39,0,0,0
324,6,174309,12,14,2,3,0,10,39,0,0,0
325,6,78383,11,9,2,5,0,45,39,0,0,0
326,0,211601,8,11,4,0,3,15,39,0,0,0
327,4,187728,15,10,2,10,5,50,39,1,-1887,0
328,6,321171,11,9,2,6,0,40,39,0,0,0
329,4,127921,11,9,4,14,1,55,39,0,2050,0
330,4,206565,15,10,4,3,1,45,39,0,0,0
331,4,224563,9,13,4,1,1,40,39,0,0,0
332,4,178686,8,11,4,8,1,40,39,0,0,0
333,2,98545,0,6,2,1,0,40,39,0,0,0
334,4,242606,11,9,2,14,0,40,39,0,0,0
335,4,270942,4,3,4,8,2,48,26,0,0,0
336,4,94235,11,9,4,3,2,40,39,0,0,0
337,4,71195,12,14,4,10,1,60,39,0,0,0
338,4,104112,11,9,4,12,4,30,14,0,0,0
339,4,261192,11,9,2,8,0,40,39,0,0,0
340,4,94936,7,12,4,12,1,40,39,0,0,0
341,4,296478,8,11,2,3,0,40,39,1,7298,3
342,7,119272,11,9,2,11,0,40,39,1,7298,3
343,4,85043,11,9,4,5,1,20,39,0,0,0
344,7,293364,15,10,4,11,3,40,39,0,0,0
345,6,241895,9,13,4,12,1,42,39,0,0,0
346,0,36135,1,7,2,0,0,8,39,0,0,0
347,0,151989,8,11,0,0,4,40,39,0,0,0
348,4,101128,7,12,3,8,1,25,20,0,0,0
349,4,156464,9,13,4,10,3,25,39,0,0,0
350,4,117963,9,13,2,4,0,40,39,1,0,0
351,4,192262,11,9,2,8,0,40,39,0,0,0
352,4,111363,9,13,2,4,0,40,39,1,0,0
353,2,329752,1,7,2,14,0,30,39,0,0,0
354,0,372020,9,13,2,0,0,40,39,1,0,0
355,1,95432,11,9,2,1,0,40,39,1,0,0
356,4,161400,1,7,6,8,4,40,39,0,0,0
357,4,96129,8,11,2,13,0,40,39,1,0,0
358,4,111949,11,9,2,1,5,35,39,0,0,0
359,6,117125,6,5,2,3,0,40,32,0,0,0
360,4,348022,0,6,2,8,5,24,39,0,0,0
361,4,270092,12,14,2,10,0,40,39,1,0,0
362,4,180609,9,13,2,14,0,45,39,0,0,0
363,4,174575,9,13,0,4,1,45,39,1,-1564,0
364,4,410439,11,9,3,12,1,55,39,0,0,0
365,4,92262,11,9,2,3,0,40,39,0,0,0
366,6,183081,15,10,2,12,0,45,39,0,0,0
367,4,362589,7,12,4,12,1,15,39,0,0,0
368,4,212448,9,13,0,4,1,45,39,1,0,0
369,4,481060,11,9,0,12,4,40,39,0,0,0
370,1,185885,15,10,4,1,4,15,39,0,0,0
371,4,89821,1,7,4,8,3,10,39,0,0,0
372,7,184018,8,11,2,7,0,38,39,1,0,0
373,4,256649,11,9,2,7,0,40,39,0,0,0
374,4,160323,11,9,4,3,1,40,39,0,0,0
375,2,350845,15,10,4,1,3,10,39,0,0,0
376,4,267404,11,9,2,3,5,40,39,0,0,0
377,4,35633,15,10,4,12,1,40,39,0,0,0
378,6,80914,12,14,0,4,1,30,39,0,0,0
379,4,172927,11,9,2,12,0,50,39,0,0,0
380,4,174319,11,9,0,14,1,40,39,0,0,0
381,4,214955,4,3,0,3,1,45,39,0,-2339,0
382,4,344991,15,10,2,3,0,40,39,0,0,0
383,4,108699,15,10,0,12,1,40,39,0,0,0
384,2,117312,15,10,2,14,5,40,39,0,0,0
385,4,396099,11,9,4,8,1,25,39,0,0,0
386,4,134152,11,9,5,7,1,40,39,0,0,0
387,4,162028,15,10,2,1,5,6,39,1,-2415,-7
388,4,25429,15,10,4,1,3,16,39,0,0,0
389,4,232392,11,9,4,8,2,40,39,0,0,0
390,4,220098,11,9,2,8,5,40,39,1,0,0
391,4,301302,9,13,4,3,1,50,39,0,0,0
392,6,277946,7,12,5,3,1,40,39,0,0,0
393,7,98101,9,13,2,4,0,45,0,1,7688,3
394,4,196164,11,9,4,8,1,35,39,0,0,0
395,4,115562,15,10,2,13,0,40,39,0,0,0
396,4,96975,15,10,0,6,4,40,39,0,0,0
397,0,137300,11,9,4,0,2,35,39,0,0,0
398,4,86872,9,13,2,4,0,55,39,1,0,0
399,5,132178,9,13,2,4,0,50,39,1,0,0
400,4,416103,15,10,4,6,3,40,39,0,0,0
401,4,108574,15,10,4,8,1,40,39,0,0,0
402,7,288353,9,13,2,11,0,40,39,1,0,0
403,4,227689,8,11,0,13,1,64,39,0,0,0
404,4,166481,5,4,2,6,0,40,33,0,-2179,-1
405,4,445382,12,14,2,4,0,65,39,1,-1977,0
406,4,110145,11,9,2,1,0,40,39,0,0,0
407,6,317253,11,9,2,3,0,25,39,0,0,0
408,0,123147,15,10,2,0,5,40,39,1,-1887,0
409,4,364657,15,10,2,4,0,50,39,0,0,0
410,2,42346,15,10,0,8,1,24,39,0,0,0
411,4,241951,11,9,4,6,4,40,39,0,0,0
412,4,118500,15,10,0,4,4,40,39,0,0,0
413,4,188386,10,16,2,4,0,60,39,1,15024,4
414,7,1033222,15,10,2,7,0,40,39,0,0,0
415,4,92440,2,8,0,3,1,50,39,1,0,0
416,4,190762,3,2,2,7,0,40,26,0,0,0
417,4,426017,1,7,4,8,3,19,39,0,0,0
418,2,243867,1,7,5,7,1,40,39,0,0,0
419,7,240283,11,9,0,14,4,40,39,0,0,0
420,4,61777,15,10,2,12,0,30,39,0,0,0
421,4,175024,1,7,4,6,3,18,39,0,2176,2
422,7,92003,9,13,2,4,5,40,39,1,0,0
423,4,188401,11,9,0,5,1,40,39,0,0,0
424,4,228528,0,6,4,3,4,35,39,0,0,0
425,4,133373,11,9,2,14,0,60,39,0,0,0
426,1,255191,12,14,4,10,1,40,39,0,-1408,0
427,4,204653,11,9,4,6,1,72,6,0,0,0
428,5,222289,11,9,2,4,0,40,39,1,0,0
429,2,287480,12,14,2,10,0,40,39,0,0,0
430,0,107762,11,9,6,0,1,24,39,0,0,0
431,0,202521,1,7,4,0,3,40,39,0,0,0
432,6,204116,9,13,3,10,1,40,39,0,2174,1
433,4,29662,7,12,2,8,5,25,39,1,0,0
434,4,116358,15,10,4,3,3,40,30,0,-1980,0
435,4,208405,12,14,2,10,0,50,39,1,0,0
436,2,284843,11,9,4,5,1,60,39,0,594,0
437,2,117018,15,10,4,11,1,40,39,0,0,0
438,4,81281,15,10,2,1,0,40,39,0,0,0
439,2,340148,15,10,2,1,5,40,39,0,0,0
440,4,363425,9,13,4,10,1,40,39,0,0,0
441,4,45857,11,9,0,1,1,28,39,0,0,0
442,1,191073,11,9,4,2,3,40,39,0,0,0
443,4,116632,15,10,2,10,0,40,39,1,0,0
444,4,405855,6,5,4,3,2,40,26,0,0,0
445,4,298227,15,10,4,12,1,35,39,0,0,0
446,4,290521,11,9,6,4,4,40,39,0,0,0
447,4,56915,11,9,2,3,0,40,39,0,0,0
448,4,146538,11,9,2,7,0,40,39,0,0,0
449,0,258872,1,7,4,0,3,5,39,0,0,0
450,4,206399,11,9,4,7,3,40,39,0,0,0
451,5,197332,15,10,2,3,0,55,39,1,0,0
452,4,245062,11,9,2,3,0,40,39,1,0,0
453,4,197583,7,12,2,4,0,40,0,1,0,0
454,6,234885,11,9,2,12,5,40,39,1,0,0
455,4,72887,8,11,2,7,0,40,39,1,0,0
456,4,180374,11,9,2,4,5,40,39,0,0,0
457,4,351299,15,10,2,14,0,50,39,0,0,0
458,4,54012,11,9,2,14,0,60,39,0,0,0
459,0,115745,15,10,2,0,0,40,39,0,0,0
460,4,116632,7,12,4,5,3,40,39,0,0,0
461,2,288825,11,9,2,14,0,40,39,0,0,0
462,4,132601,9,13,2,10,0,50,39,0,0,0
463,4,193374,3,2,3,3,4,40,39,0,0,0
464,4,170070,9,13,4,13,1,20,39,0,0,0
465,4,126708,11,9,2,1,5,60,39,0,0,0
466,4,35598,11,9,0,14,4,40,39,0,0,0
467,4,33983,15,10,2,14,0,40,39,0,0,0
468,4,192776,12,14,2,4,0,45,39,1,-1977,0
469,4,118551,9,13,2,13,5,16,39,1,0,0
470,4,201965,15,10,4,10,4,40,39,1,0,0
471,0,139883,15,10,4,0,3,40,39,0,0,0
472,4,285020,11,9,4,3,1,40,39,0,0,0
473,4,303990,11,9,4,14,1,60,39,0,0,0
474,4,49401,8,11,0,8,1,24,39,0,0,0
475,4,279196,9,13,4,3,1,40,39,0,0,0
476,4,211870,6,5,4,8,1,6,39,0,0,0
477,4,281432,15,10,4,6,3,30,39,0,0,0
478,4,161155,0,6,4,8,1,40,39,0,0,0
479,4,197904,11,9,4,8,4,35,39,0,0,0
480,4,111746,7,12,2,3,0,45,32,0,0,0
481,6,170721,15,10,2,3,0,20,39,0,0,0
482,7,70100,9,13,4,10,1,20,39,0,0,0
483,4,193626,11,9,3,3,4,40,39,0,0,0
484,0,271749,2,8,4,0,2,40,39,0,594,0
485,4,189775,15,10,3,1,3,20,39,0,0,0
486,0,401531,3,2,2,0,0,35,39,0,0,0
487,2,286967,11,9,2,14,0,45,39,0,0,0
488,2,164427,9,13,0,10,4,40,39,0,0,0
489,4,91039,9,13,2,12,0,60,39,1,15024,4
490,4,347934,11,9,4,8,1,35,39,0,0,0
491,1,371373,11,9,0,1,1,40,39,0,0,0
492,4,32220,7,12,4,4,1,60,39,0,0,0
493,4,187251,11,9,0,10,4,25,39,0,0,0
494,4,178107,9,13,4,3,3,20,39,0,0,0
495,4,343121,11,9,0,1,4,36,39,0,0,0
496,4,262749,15,10,4,7,3,40,39,0,0,0
497,4,403107,4,3,4,8,3,40,8,0,0,0
498,4,64293,15,10,4,10,1,35,39,0,0,0
499,0,303588,11,9,2,0,0,20,39,0,0,0
500,2,324960,11,9,4,5,1,40,31,0,0,0
501,2,114060,11,9,2,14,0,40,39,0,0,0
502,4,48925,15,10,2,1,0,40,39,0,0,0
503,4,180980,15,10,0,8,4,42,10,0,0,0
504,4,181054,9,13,4,12,1,40,39,0,0,0
505,4,388093,9,13,4,4,1,40,39,0,0,0
506,4,249609,15,10,4,11,3,8,39,0,0,0
507,4,112131,15,10,2,4,0,40,39,0,0,0
508,2,543162,11,9,5,1,4,40,39,0,0,0
509,4,91996,11,9,0,8,4,40,39,0,0,0
