,age,Experience,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,Personal Loan
50,46,26,171,4,3.888408225375543,3,75,0,1,1,0,1
51,36,28,133,3,2.986653217866869,3,215,0,1,1,0,1
52,52,8,163,3,3.0810151727318518,3,244,0,1,1,1,1
53,46,9,178,2,2.959404774166452,3,257,0,1,0,1,1
54,46,38,166,2,4.489436388983451,3,95,1,1,0,1,1
55,38,13,135,1,5.065961971007761,2,253,0,1,1,0,1
56,36,29,177,3,7.07403757177763,3,141,0,1,1,0,1
57,53,7,142,2,3.181537211013107,2,375,0,1,1,0,1
58,33,42,140,3,3.569900522428221,3,284,0,1,1,0,1
59,43,17,145,3,6.849764460495896,3,227,0,1,1,0,1
60,34,32,196,4,4.067013767989355,3,289,0,1,1,1,1
61,58,17,151,4,3.814793536690813,2,120,0,1,1,1,1
62,50,17,134,3,3.8351919295228063,2,452,1,1,0,0,1
63,48,39,143,3,4.350477759739693,2,448,0,1,1,0,1
64,57,24,139,4,3.4613779254557016,2,11,0,1,1,0,1
65,43,36,160,1,5.6825263686553775,3,56,0,1,0,1,1
66,51,12,181,2,3.129572941240545,2,241,0,1,1,1,1
67,37,8,147,2,3.9918987495086085,2,194,0,1,0,0,1
68,30,28,174,3,4.941747375273514,1,318,0,1,1,0,1
69,51,21,129,3,4.76143012317028,2,107,0,1,0,1,1
70,44,23,137,4,2.988744314276592,2,209,0,1,1,0,1
71,50,27,182,2,9.292506332457691,3,20,0,1,1,0,1
72,49,6,124,4,3.4335424799885006,2,37,0,1,1,1,1
73,28,24,155,3,3.2582450592320535,2,259,0,1,1,0,1
74,40,17,178,2,6.283585810995456,2,196,0,1,1,0,1
75,33,26,131,2,4.603078512119155,3,61,1,1,0,0,1
76,45,35,153,1,3.1666611258710478,2,78,0,1,0,0,1
77,61,31,160,3,4.0384694763203415,3,199,0,1,0,1,1
78,56,15,146,1,9.796295713239765,2,317,0,1,1,0,1
79,50,12,151,4,3.2757882694564713,3,381,0,1,0,0,1
80,47,12,183,2,4.5513570224855435,3,72,1,1,0,1,1
81,63,33,158,3,7.262773610146674,3,315,1,0,1,1,1
82,36,7,151,4,6.820963014440215,2,178,1,1,0,0,1
83,54,6,150,3,4.66310513760309,3,305,0,1,0,0,1
84,36,21,163,4,4.694686212286373,2,87,0,1,0,1,1
85,31,0,160,3,4.653834541252781,2,62,0,1,0,0,1
86,54,35,147,1,3.513815369223034,2,203,0,1,1,1,1
87,64,22,129,2,3.4733340364056797,3,28,0,1,1,0,1
88,40,31,177,3,5.1001052267067974,2,170,0,1,0,0,1
89,53,15,156,2,6.055911598871429,2,157,0,1,1,0,1
90,26,13,123,3,4.3190762571479935,2,134,1,1,1,1,1
91,40,2,195,3,5.556722579571068,3,139,0,1,1,0,1
92,54,31,128,1,6.220662250780161,3,182,0,1,0,1,1
93,45,17,192,3,4.551908872272106,3,200,0,1,1,0,1
94,33,17,122,2,5.433245740457274,2,165,0,1,0,0,1
95,42,20,209,3,5.265323634048136,3,434,0,1,1,1,1
96,51,34,189,3,5.690648557977279,3,76,0,1,1,1,1
97,43,4,127,2,3.1789585903261917,3,60,0,1,0,0,1
98,46,12,137,2,6.871320097320822,2,260,0,1,1,0,1
99,38,2,190,3,6.6307165640160735,2,89,0,1,0,1,1
100,48,13,165,3,5.677969926445613,2,499,0,0,1,1,1
101,52,10,167,2,5.615036403728982,3,477,0,1,0,1,1
102,33,30,150,2,4.928450757654263,3,7,0,1,0,0,1
103,32,16,138,4,3.4747730767891154,2,65,1,1,1,0,1
104,48,18,180,3,4.8120909238573395,3,299,0,1,1,1,1
105,36,1,160,2,5.400552314825436,2,161,0,1,1,0,1
106,40,18,146,3,4.095221069950117,2,30,0,1,1,0,1
107,54,16,133,2,4.440659198272415,3,389,0,1,1,1,1
108,54,15,159,3,4.789160574709015,3,212,0,1,1,0,1
109,43,24,198,4,4.057730097557201,2,13,0,1,0,1,1
110,38,16,126,3,7.826849285728862,2,246,0,1,1,1,1
111,45,11,142,3,6.060621013263246,3,135,0,1,1,0,1
112,41,16,142,3,6.203144579764297,2,196,0,1,0,1,1
113,52,3,115,3,7.841847448777827,2,362,1,1,1,0,1
114,60,30,135,3,5.593186902198842,2,385,0,1,0,0,1
115,35,24,136,2,3.5163103111303013,3,473,1,1,1,1,1
116,43,5,130,3,3.9507436448382616,2,304,0,1,1,1,1
117,47,3,152,1,4.904811587403244,2,130,0,1,1,0,1
118,31,32,147,4,0.07209768451782761,2,377,0,1,0,1,1
119,60,25,198,1,4.517595938293845,3,114,0,1,1,0,1
120,39,31,178,2,5.950465322761327,2,88,0,1,0,1,1
121,45,34,168,3,6.406868440249747,2,528,0,0,1,0,1
122,47,24,155,1,4.446624633764254,2,43,0,1,0,0,1
123,48,26,163,3,6.932601380021515,3,186,0,1,1,1,1
124,59,28,153,3,5.223672440293956,2,88,0,1,1,1,1
125,58,12,158,4,4.980889556243117,2,211,0,1,1,1,1
126,60,22,175,4,4.229056836538179,2,262,0,1,1,0,1
127,32,10,154,3,6.524521777482487,2,90,0,1,1,1,1
128,53,22,199,2,5.465737916321628,2,141,0,1,1,1,1
129,36,17,134,1,3.7839016958505525,3,2,0,1,0,0,1
130,24,5,177,3,3.8058409021214676,2,255,0,1,0,0,1
131,32,21,170,2,5.32560659197958,3,34,0,1,0,1,1
132,36,17,160,4,3.4107305225247764,2,111,0,1,1,0,1
133,50,29,180,2,3.825262628275828,2,59,0,1,0,0,1
134,56,4,198,1,4.508213365410618,3,241,0,1,1,1,1
135,46,29,176,3,7.114473118294977,3,63,0,1,1,1,1
136,44,31,190,1,7.527035752920873,3,402,0,1,0,0,1
137,56,17,172,2,7.644060951201082,3,210,0,1,1,0,1
138,42,24,164,1,3.7993827454830646,3,76,0,1,1,1,1
139,35,27,134,3,7.2369023243997,3,314,0,1,1,1,1
140,49,30,151,4,4.585166099523745,2,163,1,1,1,0,1
141,30,28,174,4,4.139234585871469,2,139,0,1,0,0,1
142,47,7,134,2,4.993383988587885,3,197,0,1,0,0,1
143,52,8,159,2,8.206570341748298,3,45,0,1,0,0,1
144,32,14,218,4,5.49447383111795,2,64,0,1,0,1,1
145,28,34,222,4,8.256036595006565,2,63,0,1,0,0,1
146,56,14,130,4,6.756367868587729,2,171,0,1,1,1,1
147,53,36,116,3,4.299431660603449,2,304,0,1,0,0,1
148,32,22,156,2,2.9649118261758156,2,219,0,1,0,0,1
149,35,33,126,2,7.048845315928529,3,153,1,1,0,1,1
150,42,12,203,4,6.479959646492716,2,181,0,1,1,1,1
151,23,9,136,4,6.617887914955842,2,141,0,1,0,0,1
152,45,41,179,2,3.7242603727446384,2,1,0,1,1,1,1
153,46,22,144,3,3.195220719541621,3,72,0,1,1,0,1
154,50,20,191,3,5.131138280418236,2,100,0,1,0,0,1
155,46,8,162,4,4.54135387045166,2,11,0,1,0,0,1
156,57,33,190,4,4.18753040200103,3,194,0,1,0,0,1
157,45,14,133,2,3.470766197502336,3,116,0,1,0,0,1
158,47,10,141,2,3.1607603563752065,2,103,0,1,0,0,1
159,50,13,146,4,5.591579230878487,3,98,1,1,1,1,1
160,47,29,120,4,5.108668226952085,3,233,1,1,1,0,1
161,34,28,140,4,1.898638614702517,2,328,1,1,1,1,1
162,41,27,155,2,3.4064021021858424,3,349,0,1,0,0,1
163,47,34,147,1,5.258731818575543,2,61,0,1,1,0,1
164,41,28,155,1,5.13817778216922,2,89,0,1,1,0,1
165,30,22,139,1,6.0583638473750145,3,418,0,1,0,1,1
166,40,16,128,3,3.3697364474503013,2,477,0,1,1,1,1
167,52,34,169,3,5.737259477017385,2,203,1,1,0,0,1
168,43,43,126,3,7.98901281564879,2,366,0,1,0,1,1
169,36,6,147,3,4.340355420817388,3,148,0,1,1,0,1
170,36,24,188,1,5.808679755983367,3,102,1,1,0,1,1
171,37,32,128,2,3.7228177004684277,3,2,0,1,0,0,1
172,47,14,139,1,5.204995693021602,3,146,0,1,1,1,1
173,46,9,147,1,7.026411677973659,2,206,0,1,1,0,1
174,21,29,171,3,5.214609032810937,3,61,0,1,0,0,1
175,42,21,123,1,4.824047169596416,3,150,0,1,0,0,1
176,47,17,145,1,3.8056242551501835,2,90,1,1,0,0,1
177,47,5,210,4,3.6744181316991438,2,55,0,1,0,0,1
178,62,4,146,1,9.068007160679135,3,67,0,1,0,0,1
179,36,13,206,3,6.943789380505763,3,118,0,1,0,0,1
180,63,23,169,1,3.3748762716893124,2,47,0,1,1,1,1
181,63,25,154,3,3.0776176041479175,2,336,0,1,0,1,1
182,41,42,186,4,2.682356877421692,2,314,0,1,1,0,1
183,53,4,137,3,3.5433778289305784,1,341,1,1,1,1,1
184,56,14,167,1,3.6856246194578124,3,365,0,1,1,1,1
185,34,14,149,1,3.840578174545529,2,359,0,1,1,0,1
186,53,34,151,3,5.021527144984982,2,179,1,1,1,0,1
187,40,16,148,3,4.721471059071605,3,289,0,1,1,0,1
188,46,16,181,2,3.562216758912858,2,169,1,1,1,1,1
189,58,19,155,2,5.161222963217901,2,167,0,1,1,0,1
190,59,5,150,3,8.044760767168986,2,54,0,1,0,0,1
191,48,24,152,1,5.105850398625815,2,108,0,1,1,0,1
192,54,22,180,1,3.6291552355828105,3,65,0,1,0,0,1
193,49,27,125,3,4.850058633642998,3,26,0,1,1,0,1
194,54,33,179,1,4.601285466952227,2,176,0,1,0,0,1
195,53,26,144,3,9.23402813334207,2,231,0,1,1,0,1
196,61,27,186,1,3.543962653041688,2,81,0,1,1,0,1
197,26,29,133,2,3.198576835222314,2,36,0,1,0,1,1
198,49,22,178,4,2.6693118758788126,3,291,0,1,1,0,1
199,40,26,123,4,5.3216679957356785,2,246,0,1,1,1,1
200,39,32,161,4,4.325277195502678,3,56,1,1,0,1,1
201,49,29,190,1,3.436380120809483,2,52,1,1,1,1,1
202,28,17,184,2,4.438449665845162,3,227,0,1,0,1,1
203,43,6,135,3,2.428719608143145,2,408,0,1,0,1,1
204,37,36,158,4,3.810454276196641,2,2,0,1,1,0,1
205,49,14,134,4,9.950295853202782,3,124,1,1,0,0,1
206,43,2,156,3,6.314707868628675,2,202,0,1,1,0,1
207,55,30,135,1,3.965694969317509,2,227,0,1,1,0,1
208,38,24,166,3,3.3461337173285166,3,115,0,1,1,0,1
209,52,16,134,4,6.094440101316068,3,12,0,1,0,0,1
210,38,21,187,3,4.128920285654154,2,86,0,1,1,0,1
211,37,37,129,3,5.700837869856059,2,213,0,1,0,1,1
212,39,11,124,1,3.6720483511054387,3,258,0,1,1,1,1
213,51,7,171,1,9.082757627563382,2,78,1,1,1,1,1
214,39,3,164,4,6.323824737760896,3,115,1,1,0,1,1
215,32,33,142,4,3.2153534853758954,3,224,0,1,0,0,1
216,37,20,167,3,3.614117738932466,3,321,1,1,1,0,1
217,44,28,215,2,3.548917394835291,2,74,1,1,1,1,1
218,59,5,155,2,4.865737206422261,3,140,1,1,0,0,1
219,43,11,189,2,3.3310753222428033,2,34,0,1,1,0,1
220,49,17,177,3,7.657706004516207,2,344,1,0,1,1,1
221,51,11,171,4,4.342209484049538,2,8,0,1,1,0,1
222,59,31,180,2,3.7102804206350326,2,149,0,1,0,0,1
223,38,25,166,4,3.949804084346948,3,154,0,1,0,1,1
224,56,16,151,2,5.22797527493138,2,209,0,1,0,0,1
225,38,9,164,3,2.4011130405850825,3,366,0,1,0,0,1
226,52,1,150,4,5.709177457325695,2,98,0,1,0,0,1
227,28,20,162,2,7.133635854566234,2,179,0,1,0,0,1
228,28,19,187,3,2.2620277782830467,2,396,0,1,1,1,1
229,34,12,141,3,6.17630553293423,2,47,0,1,1,0,1
230,39,23,131,3,5.758176735727673,2,216,0,1,1,0,1
231,30,41,162,2,8.466580329753093,2,169,0,1,1,0,1
232,49,25,126,3,4.253810306219028,3,34,0,1,1,0,1
233,24,33,134,1,6.808818010044051,2,227,1,1,1,0,1
234,34,26,188,3,4.0551234416610376,3,54,1,1,1,0,1
235,45,22,147,3,8.694431502021379,3,243,0,1,0,0,1
236,41,18,168,3,4.754864703711953,2,424,0,0,1,0,1
237,27,22,157,2,9.949350399556222,2,317,0,1,1,1,1
238,40,24,149,1,4.068690428797954,2,341,0,1,1,1,1
239,43,3,162,3,5.359586177582985,2,53,0,1,0,1,1
240,63,19,180,1,3.048359288354143,3,132,1,1,1,0,1
241,65,12,130,3,3.0623090362405283,3,12,0,1,1,0,1
242,51,38,184,2,3.2613972614148516,2,128,0,1,1,1,1
243,43,31,150,4,5.578469550711081,3,370,0,1,1,0,1
244,53,24,137,4,4.895614443866494,3,259,0,1,0,1,1
245,51,32,142,2,3.7191400594031796,3,12,0,1,1,0,1
246,56,32,135,3,7.260329425875971,3,170,0,1,0,0,1
247,22,28,162,3,6.130421230842316,2,341,1,1,0,0,1
248,43,3,123,4,3.775961006235264,2,350,1,1,0,0,1
249,44,29,193,2,4.004924511112963,2,291,0,1,1,0,1
250,45,11,163,4,4.1834300160448175,2,162,0,1,1,0,1
251,58,12,137,2,5.3860318278840955,3,413,1,1,1,0,1
252,47,25,130,2,4.382493746307902,3,304,0,1,1,1,1
253,38,16,168,3,7.0481349562695215,2,145,0,1,1,1,1
254,41,30,143,3,3.2148231110037058,2,47,0,1,1,0,1
255,45,19,128,2,3.8331224410359237,3,23,0,1,1,0,1
256,57,24,151,3,5.045587070892391,1,284,0,1,0,0,1
257,51,18,172,1,4.843318709060318,2,59,1,1,0,0,1
258,58,29,181,3,3.074803822849914,2,506,1,1,1,0,1
259,41,16,164,2,7.994554266487894,2,197,0,1,1,0,1
260,53,34,198,4,5.796854098533791,2,224,0,1,1,1,1
261,47,17,218,2,4.041542691361128,2,95,0,1,1,0,1
262,51,39,166,1,5.539503033045313,3,340,0,1,1,1,1
263,48,14,168,2,5.378640323189317,3,85,0,1,1,1,1
264,33,23,163,4,3.085127840002375,2,103,0,1,1,1,1
265,50,18,153,2,8.483653391426724,2,378,0,1,1,0,1
266,42,18,156,2,7.726884529832356,2,58,0,1,1,0,1
267,63,1,149,3,8.41049130292448,3,323,0,1,1,1,1
268,50,21,153,2,4.744784380306913,2,186,1,1,1,0,1
269,39,19,187,3,5.216398102961527,2,18,0,1,0,0,1
270,52,24,156,4,4.955572630162155,3,8,0,1,0,1,1
271,52,20,168,3,0.5344653106711164,3,398,0,1,1,1,1
272,22,19,182,2,4.804436444525677,3,299,0,1,0,0,1
273,51,30,162,4,5.035989854389402,2,72,0,1,1,1,1
274,29,25,134,1,6.319789350139381,3,64,1,1,0,0,1
275,43,25,183,2,6.832245715181079,2,53,0,1,1,0,1
276,51,33,129,3,3.005658866464789,2,207,0,1,0,0,1
277,54,28,197,3,3.7103801727875587,3,10,0,1,1,1,1
278,45,7,173,1,6.460921537030178,2,180,0,1,0,0,1
279,30,25,179,1,4.218983043476673,2,267,1,1,1,0,1
280,34,21,130,2,6.657130284409858,3,205,0,1,1,0,1
281,40,17,189,3,4.991117591472257,2,78,1,1,0,1,1
282,42,1,200,2,4.220279150892867,3,342,0,1,0,1,1
283,54,21,157,3,3.7994785103993656,2,140,0,1,1,0,1
284,51,29,166,3,3.2919459106837143,2,125,0,1,0,0,1
285,40,33,137,2,4.150149915309965,3,97,0,1,0,0,1
286,47,35,123,3,3.6842601277653437,2,22,0,1,1,0,1
287,37,27,177,4,6.737196288354552,3,42,0,1,1,0,1
288,49,13,146,2,3.196293630808311,2,31,0,1,1,0,1
289,66,13,180,3,5.203139548877521,2,4,0,1,1,1,1
290,37,29,155,1,6.156504008512112,3,144,0,1,1,0,1
291,53,30,160,2,3.7947836153672885,2,260,0,1,0,1,1
292,26,15,162,3,5.284322489151037,2,50,0,1,0,0,1
293,49,11,155,3,2.9962055103505083,3,18,0,1,0,1,1
294,51,23,153,3,3.58577012924313,2,71,1,1,1,0,1
295,49,36,191,3,3.7406282575299885,2,257,0,1,0,1,1
296,54,20,187,2,3.39790491647956,2,15,0,1,1,1,1
297,54,19,205,3,3.894943479271643,2,242,0,1,0,1,1
298,56,16,165,2,5.0300894202601825,3,150,0,1,1,1,1
299,31,14,155,2,6.488822270618238,3,155,0,1,0,0,1
300,55,24,179,4,4.913381657046099,3,338,0,0,1,0,1
301,48,16,154,1,7.953278124772952,2,133,0,1,1,0,1
302,50,22,183,3,4.428762735483885,2,262,0,1,1,0,1
303,47,17,136,4,4.492371197419789,2,113,0,1,1,0,1
304,49,18,125,3,3.3092665929059524,3,190,0,1,1,1,1
305,40,24,139,3,3.0823975934591155,2,76,0,1,1,0,1
306,52,18,124,3,4.190569373848765,2,89,0,1,0,0,1
307,54,1,179,1,3.277571208803311,2,97,0,1,1,0,1
308,43,27,130,3,4.795203887595399,2,212,0,1,0,1,1
309,55,25,170,4,3.1786468869713405,2,13,0,1,0,1,1
310,55,17,166,2,5.636571070503154,2,333,0,1,1,1,1
311,43,38,139,2,4.546857397944105,3,153,0,1,1,1,1
312,27,22,213,3,4.1413870340446906,3,219,0,1,0,0,1
313,47,19,219,3,4.5295771814322245,2,278,0,1,0,0,1
314,51,27,172,4,4.224636559376721,2,136,0,1,1,1,1
315,31,31,187,3,6.371679700916531,3,62,1,1,1,0,1
316,40,13,138,3,3.246886657404289,3,39,0,1,0,0,1
317,29,15,189,2,4.622958363479026,3,102,1,1,1,0,1
318,52,35,147,2,3.279283616680714,2,306,0,1,0,0,1
319,65,33,159,3,0.22545537837570784,2,317,0,1,0,0,1
320,36,3,189,2,8.553216685220974,2,27,0,1,1,0,1
321,58,36,141,2,5.540531779761965,2,1,0,1,1,0,1
322,32,23,146,2,8.179688741046084,3,30,0,1,1,0,1
323,51,24,206,2,3.956568686431164,3,130,1,1,0,1,1
324,42,38,139,4,2.9745145607608428,2,71,1,1,1,0,1
325,37,23,190,2,4.938753098580436,2,196,1,1,0,0,1
326,41,34,177,1,3.0794740397566445,3,103,0,1,0,0,1
327,43,33,117,4,3.7506242183821867,3,282,0,1,1,0,1
328,56,41,157,1,4.7775361789505375,3,68,0,1,0,0,1
329,44,10,177,4,4.997079409970515,3,182,0,1,1,1,1
330,36,26,129,2,4.112251743100909,2,26,0,1,0,1,1
331,59,13,157,4,8.689252299236054,3,7,0,1,1,0,1
332,39,18,177,4,8.067759390058951,3,9,1,1,1,1,1
333,41,21,132,2,5.302509279563221,3,50,0,1,0,0,1
334,54,6,142,3,8.32288727115861,2,184,1,1,1,1,1
335,47,8,182,4,3.6155233771791226,2,106,0,1,1,0,1
336,36,15,169,1,7.210683054520825,2,3,0,1,1,0,1
337,26,25,137,4,3.565656258131307,3,233,0,1,0,1,1
338,24,31,180,4,3.7750600222445243,3,30,1,1,0,0,1
339,43,25,170,3,8.370242060343266,3,252,0,1,1,1,1
340,59,13,156,1,4.507668016613511,2,122,0,1,0,0,1
341,46,30,126,3,6.608960572715123,2,63,0,1,1,1,1
342,30,9,209,2,5.657503598835099,3,85,0,1,1,0,1
343,31,43,134,4,4.985816674746371,1,375,0,1,0,0,1
344,63,27,161,2,5.388048669411945,3,115,0,1,1,0,1
345,29,11,131,1,5.192593264236574,2,68,0,1,0,1,1
346,43,10,151,3,4.968119107317929,3,187,0,1,1,0,1
347,36,10,156,4,3.9453876755790707,3,105,0,1,0,0,1
348,38,10,165,2,3.799626050928175,3,347,0,1,1,1,1
349,48,21,133,3,3.412313648842255,3,78,0,1,0,1,1
350,56,40,175,1,4.710530361134319,2,246,0,1,1,0,1
351,54,21,130,3,1.8541364590364133,3,326,0,1,0,1,1
352,43,27,139,3,3.8872110059744003,2,361,0,1,0,0,1
353,46,6,147,2,3.0038773147606395,3,313,0,1,0,0,1
354,41,39,145,2,3.1391187690036086,2,275,0,1,1,1,1
355,59,36,126,2,4.844158760816648,2,115,0,1,1,0,1
356,46,28,159,3,6.415990608163268,3,100,0,1,1,1,1
357,45,36,154,3,1.8687800452518308,3,294,0,1,0,0,1
358,25,38,146,1,4.945305454720607,3,224,0,1,0,0,1
359,43,13,174,4,5.62362532739282,3,46,0,1,1,1,1
360,42,36,184,4,4.9636895942501615,2,72,1,1,1,1,1
361,49,29,129,2,5.680258481738332,2,142,1,1,1,1,1
362,52,43,123,2,3.098233476248656,3,80,0,1,1,0,1
363,66,5,150,4,4.176912125193954,3,36,0,1,1,0,1
364,32,24,123,2,3.789731460636309,3,24,0,1,1,0,1
365,26,11,160,3,5.345086567117683,2,293,0,1,0,1,1
366,51,34,158,4,2.8782146775097237,3,417,0,1,1,0,1
367,36,21,202,2,5.555881126401531,2,53,0,1,1,0,1
368,58,7,186,3,5.2008590700477475,3,189,0,1,1,1,1
369,48,20,136,2,3.187955159191042,2,309,0,1,1,0,1
370,47,4,147,2,5.141795946566887,2,103,1,1,1,0,1
371,42,13,132,4,3.8628145006124197,2,59,0,1,0,0,1
372,62,17,193,3,5.1360667661072545,3,123,0,1,1,1,1
373,65,11,177,3,6.782354118616176,2,117,0,1,1,0,1
374,33,32,147,3,3.8208595941540566,3,153,0,1,1,0,1
375,43,37,134,4,5.321011898318236,2,243,0,1,1,0,1
376,46,40,166,3,5.221949930224885,3,287,0,1,1,0,1
377,57,32,180,1,7.999018025565067,2,82,0,1,0,0,1
378,52,29,139,2,5.561458291731231,3,79,0,1,1,1,1
379,44,5,137,4,5.751409212039779,2,179,0,1,1,0,1
380,56,20,189,1,4.607959228032328,2,20,0,1,0,0,1
381,54,31,165,4,3.814844784019339,1,299,0,1,1,1,1
382,55,11,143,4,5.033962714492484,3,140,0,1,0,1,1
383,47,24,143,4,3.015118235245886,2,41,1,1,1,1,1
384,35,2,124,1,4.64827865096136,3,397,0,1,0,0,1
385,37,35,140,3,5.047109504091257,2,390,0,1,0,0,1
386,48,26,131,3,6.487460971477293,2,33,0,1,0,1,1
387,38,26,175,2,7.514574886324908,2,125,0,1,0,0,1
388,39,12,123,3,3.1848226564571256,2,123,0,1,1,0,1
389,60,18,138,4,4.209891969212899,2,292,0,1,0,1,1
390,55,8,155,4,3.3029471417452765,3,173,1,1,1,0,1
391,41,8,174,3,5.944590822687729,3,26,0,1,1,0,1
392,44,34,151,4,3.9956169241659185,2,69,0,1,0,0,1
393,32,23,153,4,4.712059062021008,2,20,0,1,1,1,1
394,52,15,124,4,4.04002067597515,3,289,1,1,1,0,1
395,29,26,136,2,3.841816917593413,2,137,0,1,1,0,1
396,56,24,150,3,3.811682319759217,2,275,0,1,1,1,1
397,52,36,119,1,5.316908973168763,3,374,0,1,1,1,1
398,42,13,160,2,4.394708646282034,2,137,1,1,0,0,1
399,21,32,141,3,5.572621251324742,2,58,0,1,0,0,1
400,49,9,219,1,7.375765304079069,2,213,0,1,0,1,1
401,45,22,129,3,3.0300435570795026,3,23,0,1,1,0,1
402,42,10,164,4,3.821163492664655,2,58,0,1,1,0,1
403,46,18,175,3,5.526033200130017,3,132,1,1,1,0,1
404,36,13,184,2,3.729554228530181,3,131,0,1,1,0,1
405,38,8,177,4,5.850071673769208,3,378,0,0,0,1,1
406,30,12,126,3,4.224760801335295,2,69,0,1,1,0,1
407,27,22,168,3,4.4194190559454585,3,205,1,1,0,0,1
408,50,30,147,2,5.7313009928244,2,156,0,1,0,0,1
409,51,16,134,4,6.736570475986486,2,187,0,1,0,1,1
410,27,9,125,1,4.641060994772038,3,291,1,1,1,0,1
411,32,36,205,2,4.627478762081909,2,365,0,1,1,1,1
412,36,20,196,3,5.104774487150142,3,76,0,1,1,1,1
413,41,24,168,4,4.731496904636896,3,104,0,1,1,0,1
414,48,33,167,4,7.513940857706931,2,33,0,1,0,0,1
415,30,0,207,1,4.49280556875705,2,255,0,1,1,0,1
416,42,14,166,2,3.087588462479089,3,42,0,1,1,0,1
417,52,19,143,4,6.664222422230409,2,306,0,1,1,1,1
418,39,20,190,3,8.884029589694336,3,296,0,1,0,1,1
419,43,43,134,4,4.056530338768098,2,88,0,1,0,0,1
420,37,10,146,3,3.0977044648136336,3,117,0,1,0,0,1
421,59,16,133,3,3.0839454256078147,2,458,0,1,0,1,1
422,51,10,134,2,4.395821233294306,2,61,0,1,1,0,1
423,66,30,139,2,4.155382470454187,2,74,0,1,1,0,1
424,57,26,143,3,3.708495031864472,2,36,0,1,1,0,1
425,39,40,150,2,5.97811420660499,3,202,0,1,1,1,1
426,47,32,164,3,3.260444995795865,3,265,1,1,1,1,1
427,46,27,136,3,4.79424177742474,3,403,0,1,1,0,1
428,27,29,165,1,5.008612496175264,2,241,0,1,0,0,1
429,42,14,183,3,3.2437289591159137,2,240,0,1,1,1,1
